,Borough,Neighborhood,Lat,Long
0,East York,Broadview North,43.6839242,-79.3569642
1,East York,Crescent Town,43.695403,-79.293099
2,East York,Danforth - East York,43.6864333,-79.3003555
4,East York,O'Connor-Parkview,43.7078416,-79.3110743
5,East York,Old East York,43.699971000000005,-79.33251996261595
6,East York,Thorncliffe Park,43.704553,-79.3454074
8,Etobicoke,Alderwood,43.6017173,-79.5452325
9,Etobicoke,Edenbridge-Humber Valley,43.6722234,-79.5146852
10,Etobicoke,Elms-Old Rexdale,43.7203452,-79.5571025
12,Etobicoke,Etobicoke West Mall,43.6435491,-79.56532534553605
13,Etobicoke,Humber Heights-Westmount,43.68846954999999,-79.5063904344015
14,Etobicoke,Islington-City Centre West,43.645335,-79.5248163
16,Etobicoke,Kingsway South,43.6473811,-79.5113328
17,Etobicoke,Long Branch,43.59200455,-79.54536450659592
18,Etobicoke,Markland Wood,43.63123865,-79.58543401986114
19,Etobicoke,Mimico,43.6166773,-79.4968048
21,Etobicoke,New Toronto,43.6007625,-79.505264
23,Etobicoke,Rexdale-Kipling,43.7213619,-79.5655129
24,Etobicoke,Stonegate-Queensway,43.616019449999996,-79.52700544999999
28,North York,Banbury-Don Mills,43.7348039,-79.3572426
29,North York,Bathurst Manor,43.6655189,-79.4119373
30,North York,Bayview Village,43.7691966,-79.3766617
31,North York,Bayview Woods-Steeles,43.7981268,-79.3829726
33,North York,Black Creek,43.6954005,-79.485495
36,North York,Clanton Park,43.7431757,-79.4517261
37,North York,Don Valley Village,43.7926732,-79.3547219
39,North York,Englemount-Lawrence,43.7142417,-79.4370715
40,North York,Flemingdon Park,43.7184315,-79.333204
41,North York,Glenfield-Jane Heights,43.7572532,-79.5176975
42,North York,Henry Farm,43.7695089,-79.354296
43,North York,Hillcrest Village,43.6816953,-79.4257118
44,North York,Humber Summit,43.7600778,-79.5717598
46,North York,Lansing-Westgate,43.7589503,-79.4225555
47,North York,Maple Leaf,43.7122767,-79.4901977
